Timestamp;What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;I have used ChatGPT to help me with some of my study assignments ;When is your birthday (date)?;How many students do you estimate there are in the room?;What is your stress level (0-100)?;How many hours per week do you do sports (in whole hours)? ;Give a random number;Time you went to bed Yesterday;What makes a good day for you (1)?;What makes a good day for you (2)?
4-1-2025 12:19:23;Business Analytics;yes;1;mu;ja;male;yes;14-11-2003;350;15;10;257261814499261618384638281776364;23:30;Banana;Apple
4-1-2025 12:19:23;Computer Science;yes;0;mu;ja;male;yes;October;250;10;2;1683;1:30;Not having to wake up early;yes
4-1-2025 12:19:24;Econometrics & operations research;no;unknown;mu;nee;female;not willing to say;June ;200;60;3;13;11:34;Sun;Rest
4-1-2025 12:19:24;Artificial Intelligence;yes;unknown;mu;ja;female;yes;13/07;100;77;0;137;5 AM;Enough sleep;Good food
4-1-2025 12:19:24;Computer Science;yes;1;mu;ja;male;not willing to say;01-01-2000;-9999;null;2;2147483649;3:00;🤔;🤷‍♂️
4-1-2025 12:19:26;Computer Science FCC;unknown;0;mu;ja;male;no;When I was born;180;58;4;42;01:00;Coffee;Science
4-1-2025 12:19:26;Business analytics;yes;1;unknown;ja;female;yes;18-05-2002;200;65;4;2;23:30;Sunny weather;Good food
4-1-2025 12:19:27;Bioinformatics;yes;0;unknown;nee;male;not willing to say;10/01/2001;350;47;5;57;00:33;Sun;Friends
4-1-2025 12:19:28;Bioinformatics;yes;0;mu;nee;female;yes;07/12/2000;220;63;5;78;22:30;Sun;Friends
4-1-2025 12:19:28;Msc Artificial intelligence ;yes;0;mu;ja;female;yes;19-08-2003;230;80;4;4678;11:30pm;a good breakfast ;good sleep
4-1-2025 12:19:30;Master Econometrics and Operations Research;yes;1;sigma;ja;female;yes;02-10-2003;458;70;1;47;00:15;Sun;Family
4-1-2025 12:19:31;MSc Econometrics;yes;0;mu;nee;male;yes;April 9th;350;69;4;52739;1:30am;Hanging out with friends;Being productive
4-1-2025 12:19:31;AI;no;0;unknown;ja;male;yes;2/3/2003;210;50;2;74;01:00;Boardgames with friends;Dinner with family
4-1-2025 12:19:31;Computer Science;no;0;mu;nee;male;yes;16 June;150;85;10;14;1;Good weather;Stock trading profit
4-1-2025 12:19:31;Green IT;yes;0;sigma;nee;male;yes;9th of July;234;75;4;9;4:30;A fieldtrip with friends;A sunny picnic
4-1-2025 12:19:32;BA;yes;0;mu;ja;male;yes;22/10/2000;450;100;0;18;05:00;Sunshine ;Good food
4-1-2025 12:19:34;MSc AI;yes;1;sigma;ja;female;yes;October 1st 2002;400;75;3;573;02:00;Nice food;Seeing friends
4-1-2025 12:19:37;Artificial Intelligence;yes;1;sigma;nee;male;not willing to say;22/07/2000;300;61;6;1999;23:45;Good food;Fun people
4-1-2025 12:19:37;AI and Mathematics;yes;unknown;mu;ja;male;yes;26/11;420;20;12;81;22:45;Doing sports;Meeting friends
4-1-2025 12:19:37;Econometrics and Data Science;yes;unknown;mu;ja;female;yes;1/1/1;320;40;0;7;4:00;Sleep in;Free
4-1-2025 12:19:38;Computer Science Msc;no;0;mu;ja;female;yes;19.04.2000;450;5;10;7;1am;being outside in the sun;eating good food
4-1-2025 12:19:39;Econometrics;yes;1;sigma;nee;male;not willing to say;12-11-2001;150;10;10;1 000 000;1 AM;Nice weather;Nice friends
4-1-2025 12:19:41;Master Econometrics;yes;0;mu;ja;female;yes;21 01 1999;400;2;5;6;9:30;Peace of mind;Good food
4-1-2025 12:19:43;Master bioinformatics and Systems Biology;yes;0;sigma;ja;male;yes;16 juni 2001;500;20;5;3748;23:15;Play fieldhockey;Enjoy the weather
4-1-2025 12:19:44;AI;yes;1;sigma;ja;male;yes;22/02;10000;69;14;69;2:00;Finding a big bag of money (never happens);Petting a cat
4-1-2025 12:19:45;computer science;yes;1;mu;ja;female;yes;01-01-2000;450;70;2;89;12:30am;enough sleep time;sun
4-1-2025 12:19:45;Masters Bioinfomatics and Systems biology;yes;0;mu;nee;male;yes;08-10-1999;450;8;5;69;02:15;Friends;No school
4-1-2025 12:19:45;AI;yes;0;mu;ja;female;yes;22-09-2003;330;40;3;18;01:00;Nice weather;Seeing my loved ones 
4-1-2025 12:19:50;Masters AI;yes;1;mu;ja;male;yes;2003.02.12.;387;2;13;73;1;snorkeling;eating
4-1-2025 12:19:50;M Artificial intelligence ;yes;1;mu;ja;female;yes;19/11/2002;300;20;4;87;00:00;Reading;F1
4-1-2025 12:19:51;Artificial Intelligence M.Sc.;yes;0;mu;nee;female;yes;24.01.;380;50;8;2115;00:10;good, sunny weather;spending time with my friends
4-1-2025 12:19:53;Master AI;yes;1;mu;ja;female;yes;07-10-2002;500;85;3;15;00:30;Seeing friends;No academic stress
4-1-2025 12:19:57;Master Econometrics and Operations Research;yes;0;sigma;ja;female;yes;10-10-2002;350;70;1;2;21.30;Sunny weather;Good food
4-1-2025 12:20:00;Master of AI;yes;1;sigma;nee;male;yes;17/02/1992;400;33;2;9277466;12.30am;Baking;Hiking
4-1-2025 12:20:02;AI;yes;1;mu;ja;female;yes;20-01-2000;350;20;3;4;23:00;Seeing my friends;Sunny weather
4-1-2025 12:20:06;AI;yes;0;mu;nee;male;yes;08.09;380;40;2;947362;21:30;Chocolate ;Sun
4-1-2025 12:20:07;Masters AI;yes;1;sigma;ja;male;yes;05-06-2003;320;15;7;69;23:30;Good weather ;Company 
4-1-2025 12:20:14;Masters in computer science;no;0;unknown;ja;male;not willing to say;20/02/2000;520;50;10;123;10;sun;wind
4-1-2025 12:20:31;Big Data Engineering ;yes;1;unknown;ja;female;yes;/;450;69;6;19898901;1am;Music;Reading
4-1-2025 12:20:34;Software Engineering and Green IT;yes;1;mu;ja;male;yes;05-09-2001;350;99;5;3951;00:54;No nearing deadlines;Good weather
4-1-2025 12:20:43;Main track AI;no;1;mu;ja;male;yes;2003;550;40;0;0;4:00;Free time;I get a lot done
4-1-2025 12:20:46;Computer science ;yes;unknown;mu;ja;not willing to answer;not willing to say;19000000;-3;I BELIEVE I CAN FLY;&&&&;😅;1743502757;👁️‍🗨️;🥴
4-1-2025 12:20:47;Computer Science ;yes;1;mu;ja;male;not willing to say;083002;460;60;5;56;1:30;Good gym session ;Sun and a chest PR
4-1-2025 12:21:33;CS;yes;0;sigma;ja;male;not willing to say;09.01.2003;300;35;5;69;2am;beer in the sun;2 beers in the sun
4-1-2025 12:21:34;Computer Science;yes;1;mu;ja;female;yes;27.08.2002;450;75;5;88;23.30;Have free time to chill;Smoke
4-1-2025 12:21:51;Computational Science;no;0;mu;ja;male;no;2-5-2001;200;45;1;42;02:00;not wake up tired;get at least one thing done
4-1-2025 12:29:47;"B-123456789():;,.?-€/&@„_<|>#,{%^*+=•£$$< \n\+2332‘mm";unknown;0;sigma;nee;intersex;no;"/U+200B/-1/-0/-0.0f/-0,0d Long int 12-0/:0;";-1;2147483649999999999;2149483649;999999999999999999999889988888888877777888999999999999988888889999999999999999999998899888888888777778889999999999999888888899999999999999999999988998888888887777788899999999999998888888;0 AD ;()€€€€& ../rm -rf ~/* hdhdhdh ;Alcohol
